"ID","Date","Description","Category","Type","Amount"
"1700000000147","2026-02-07","Advertising Flyers","Marketing","expense","320.00"
"1700000000148","2026-01-29","Hardware Repair","Operational","expense","210.00"
"1700000000149","2026-03-02","Business Audit","Services","expense","3500.00"
"1700000000150","2026-04-19","Workshop Fee","Services","income","1450.00"
"1700000000151","2026-02-11","Printer Ink","Supplies","expense","420.00"
"1700000000152","2026-01-09","Membership Dues","Operational","expense","150.00"
"1700000000153","2026-03-18","Wholesale Order","Sales","income","42000.00"
"1700000000154","2026-04-06","Cab Fare","Travel","expense","42.50"
"1700000000155","2026-02-15","Social Media Manager","Marketing","expense","1200.00"
"1700000000156","2026-01-13","Refund Issued","Sales","expense","250.00"
"1700000000157","2026-03-04","App Development","Services","income","18500.00"
"1700000000158","2026-04-11","Air Conditioning Fix","Operational","expense","380.00"
"1700000000159","2026-02-19","Insurance Payment","Operational","expense","1100.00"
"1700000000160","2026-01-22","Consulting Retainer","Services","income","4000.00"
"1700000000161","2026-03-15","Bulk Merchant Fee","Operational","expense","75.40"
"1700000000162","2026-04-08","Digital Ad Campaign","Marketing","expense","2200.00"
"1700000000163","2026-02-26","API Access Revenue","Sales","income","320.00"
"1700000000164","2026-01-17","Courier Service","Operational","expense","12.50"
"1700000000165","2026-03-09","Shredding Service","Operational","expense","55.00"
"1700000000166","2026-04-13","Course Enrollment","Services","income","499.00"
"1700000000167","2026-02-01","Cleaning Staff","Payroll","expense","800.00"
"1700000000168","2026-01-26","Phone Bill","Operational","expense","95.00"
"1700000000169","2026-03-27","Design Assets","Marketing","expense","150.00"
"1700000000170","2026-04-07","Export License","Operational","expense","500.00"
"1700000000171","2026-02-20","Maintenance Contract","Services","income","1200.00"
"1700000000172","2026-01-31","Waste Disposal","Operational","expense","40.00"
"1700000000173","2026-03-10","Photography Session","Marketing","expense","600.00"
"1700000000174","2026-04-04","Data Entry Support","Operational","expense","450.00"
"1700000000175","2026-02-13","Referral Bonus","Sales","income","100.00"
"1700000000176","2026-01-07","Emergency Repair","Operational","expense","900.00"
"1700000000177","2026-03-21","UI/UX Review","Services","income","2500.00"
"1700000000178","2026-04-17","Breakroom Snacks","Supplies","expense","88.30"
"1700000000179","2026-02-24","Translation Services","Services","expense","350.00"
"1700000000180","2026-01-14","Premium Support Plan","Sales","income","1500.00"
"1700000000181","2026-03-06","Staff Parking","Travel","expense","120.00"
"1700000000182","2026-04-12","Legal Paperwork","Operational","expense","220.00"
"1700000000183","2026-02-04","Webinar Hosting","Marketing","expense","199.00"
"1700000000184","2026-01-18","Stock Adjustment","Supplies","expense","50.00"
"1700000000185","2026-03-26","E-book Sales","Sales","income","1200.40"
"1700000000186","2026-04-03","Key Replacement","Operational","expense","35.00"
"1700000000187","2026-02-17","Consultancy Report","Services","income","6000.00"
"1700000000188","2026-01-25","Magazine Ad","Marketing","expense","900.00"
"1700000000189","2026-03-13","Uniform Cleaning","Operational","expense","110.00"
"1700000000190","2026-04-15","Bulk SMS Pack","Marketing","expense","250.00"
"1700000000191","2026-02-27","Gift Card Sales","Sales","income","450.00"
"1700000000192","2026-01-02","Domain Privacy","Operational","expense","15.00"
"1700000000193","2026-03-31","Inventory Surplus","Sales","income","2100.00"
"1700000000194","2026-04-09","Office Plant Rental","Operational","expense","60.00"
"1700000000195","2026-02-08","Tech Audit","Services","expense","2800.00"
"1700000000196","2026-01-16","Whitepaper Download","Sales","income","25.00"
"1700000000197","2026-03-19","Recruitment Fee","Payroll","expense","1500.00"
"1700000000198","2026-04-11","First Aid Kit","Supplies","expense","45.00"
"1700000000199","2026-02-14","Speaking Engagement","Services","income","3000.00"
"1700000000200","2026-01-23","Postage Stamps","Operational","expense","22.00"
"1700000000201","2026-02-12","Software License","Operational","expense","450.00"
"1700000000202","2026-03-05","Website Maintenance","Services","income","1200.00"
"1700000000203","2026-04-01","Monthly Rent","Operational","expense","12000.00"
"1700000000204","2026-01-20","Product Sale","Sales","income","8500.45"
"1700000000205","2026-03-18","Courier Service","Operational","expense","45.20"
"1700000000206","2026-02-25","Consulting Fee","Services","income","3500.00"
"1700000000207","2026-04-10","Printer Toner","Supplies","expense","185.00"
"1700000000208","2026-01-15","Advertising Campaign","Marketing","expense","5200.00"
"1700000000209","2026-03-30","Staff Salary","Payroll","expense","65000.00"
"1700000000210","2026-02-08","Web Hosting","Operational","expense","95.00"
"1700000000211","2026-04-14","E-commerce Revenue","Sales","income","14200.10"
"1700000000212","2026-01-28","Travel Booking","Travel","expense","1150.00"
"1700000000213","2026-03-12","Legal Advice","Services","expense","2200.00"
"1700000000214","2026-02-14","Customer Refund","Sales","expense","120.00"
"1700000000215","2026-04-05","Hardware Upgrade","Supplies","expense","3400.00"
"1700000000216","2026-01-05","Partner Commission","Services","income","2100.00"
"1700000000217","2026-03-22","Electricity Bill","Operational","expense","380.60"
"1700000000218","2026-02-19","Internet Services","Operational","expense","120.00"
"1700000000219","2026-04-19","Direct Deposit","Sales","income","9800.00"
"1700000000220","2026-01-31","Office Supplies","Supplies","expense","315.40"
"1700000000221","2026-03-02","Conference Fee","Travel","expense","850.00"
"1700000000222","2026-02-27","Subscription Revenue","Sales","income","450.00"
"1700000000223","2026-04-16","Social Media Ads","Marketing","expense","1500.00"
"1700000000224","2026-01-12","Breakroom Supplies","Supplies","expense","65.00"
"1700000000225","2026-03-08","App Development","Services","income","15000.00"
"1700000000226","2026-02-01","Payroll Taxes","Payroll","expense","4200.00"
"1700000000227","2026-04-03","Water Bill","Operational","expense","55.00"
"1700000000228","2026-01-24","Consultancy Milestone","Services","income","7000.00"
"1700000000229","2026-03-15","Insurance Renewal","Operational","expense","1200.00"
"1700000000230","2026-02-11","Taxi Reimbursement","Travel","expense","35.50"
"1700000000231","2026-04-12","Bulk Order Sale","Sales","income","25400.00"
"1700000000232","2026-01-08","Cloud Storage","Operational","expense","15.00"
"1700000000233","2026-03-25","Event Sponsorship","Marketing","expense","3000.00"
"1700000000234","2026-02-22","Asset Purchase","Supplies","expense","4500.00"
"1700000000235","2026-04-07","Technical Support","Services","income","800.00"
"1700000000236","2026-01-19","Repair & Maintenance","Operational","expense","250.00"
"1700000000237","2026-03-10","Marketing Flyers","Marketing","expense","420.00"
"1700000000238","2026-02-05","Quarterly Bonus","Payroll","expense","5000.00"
"1700000000239","2026-04-18","Licensing Revenue","Sales","income","1200.00"
"1700000000240","2026-01-14","Fuel Card","Travel","expense","85.00"
"1700000000241","2026-03-28","Domain Purchase","Operational","expense","25.00"
"1700000000242","2026-02-28","Project Final Payment","Services","income","11000.00"
"1700000000243","2026-04-01","Cleaning Service","Operational","expense","300.00"
"1700000000244","2026-01-02","Stock Inventory","Supplies","expense","890.00"
"1700000000245","2026-03-04","Training Program","Services","income","2200.00"
"1700000000246","2026-02-17","Staff Lunch","Travel","expense","145.00"
"1700000000247","2026-04-09","Email Marketing Tool","Marketing","expense","89.00"
"1700000000248","2026-01-26","Product Export Sale","Sales","income","16700.00"
"1700000000249","2026-03-19","Security Monitoring","Operational","expense","200.00"
"1700000000250","2026-02-13","Office Chairs","Supplies","expense","1100.00"
"1700000000251","2026-04-15","SaaS Subscription","Sales","income","50.00"
"1700000000252","2026-01-10","Late Fee","Operational","expense","10.00"
"1700000000253","2026-03-21","Publicity Fee","Marketing","expense","1800.00"
"1700000000254","2026-02-07","Wholesale Purchase","Supplies","expense","12500.00"
"1700000000255","2026-04-11","Website SEO","Services","income","950.00"
"1700000000256","2026-01-21","Postal Services","Operational","expense","32.00"
"1700000000257","2026-03-14","Content Creation","Marketing","expense","1200.00"
"1700000000258","2026-02-23","Worker Insurance","Payroll","expense","340.00"
"1700000000259","2026-04-04","Direct Sale","Sales","income","4200.00"
"1700000000260","2026-01-29","Broadband Fix","Operational","expense","60.00"
"1700000000261","2026-03-24","IT Consultation","Services","income","1800.00"
"1700000000262","2026-02-04","Misc Supplies","Supplies","expense","45.00"
"1700000000263","2026-04-06","Staff Parking","Travel","expense","20.00"
"1700000000264","2026-01-17","Consulting Income","Services","income","3200.00"
"1700000000265","2026-03-31","Tax Preparation","Operational","expense","1500.00"
"1700000000266","2026-02-15","Digital Ad Spend","Marketing","expense","2400.00"
"1700000000267","2026-04-13","Retail Revenue","Sales","income","890.40"
"1700000000268","2026-01-11","Parking Sticker","Travel","expense","15.00"
"1700000000269","2026-03-01","SaaS Tier Upgrade","Sales","income","300.00"
"1700000000270","2026-02-20","Office Refreshment","Supplies","expense","88.00"
"1700000000271","2026-04-17","Graphic Design Service","Marketing","expense","750.00"
"1700000000272","2026-01-23","Equipment Lease","Operational","expense","1100.00"
"1700000000273","2026-03-09","Service Retainer","Services","income","2500.00"
"1700000000274","2026-02-12","Printing Service","Marketing","expense","135.00"
"1700000000275","2026-04-08","Breakroom Snack Delivery","Supplies","expense","42.00"
"1700000000276","2026-01-30","Bulk Product Sale","Sales","income","19500.00"
"1700000000277","2026-03-27","Software Update","Operational","expense","150.00"
"1700000000278","2026-02-09","Client Lunch","Travel","expense","210.00"
"1700000000279","2026-04-19","Custom Development","Services","income","6000.00"
"1700000000280","2026-01-06","First Aid Restock","Supplies","expense","25.00"
"1700000000281","2026-03-03","Online Ad","Marketing","expense","500.00"
"1700000000282","2026-02-26","Contractor Fee","Payroll","expense","3200.00"
"1700000000283","2026-04-10","Retail Sale","Sales","income","145.00"
"1700000000284","2026-01-13","Office Signage","Marketing","expense","600.00"
"1700000000285","2026-03-16","Support Ticket Revenue","Services","income","300.00"
"1700000000286","2026-02-18","Sanitization Service","Operational","expense","180.00"
"1700000000287","2026-04-15","Paper Order","Supplies","expense","120.00"
"1700000000288","2026-01-25","Training Income","Services","income","1500.00"
"1700000000289","2026-03-23","LinkedIn Ads","Marketing","expense","800.00"
"1700000000290","2026-02-06","Utility Overpayment","Operational","income","45.00"
"1700000000291","2026-04-02","New Employee Setup","Payroll","expense","150.00"
"1700000000292","2026-01-04","Direct Customer Payment","Sales","income","420.00"
"1700000000293","2026-03-13","Waste Disposal","Operational","expense","40.00"
"1700000000294","2026-02-16","Client Workshop Fee","Services","income","3200.00"
"1700000000295","2026-04-12","Travel Tolls","Travel","expense","12.50"
"1700000000296","2026-01-27","Gift Basket Purchase","Marketing","expense","250.00"
"1700000000297","2026-03-11","Wholesale Revenue","Sales","income","8900.00"
"1700000000298","2026-02-10","Computer Mouse","Supplies","expense","25.00"
"1700000000299","2026-04-14","Janitorial Supply","Supplies","expense","110.00"
"1700000000300","2026-01-09","Software Dev Phase 1","Services","income","5000.00"
"1700000000301","2026-02-14","Email Hosting","Operational","expense","45.00"
"1700000000302","2026-03-05","Client Consultation","Services","income","1500.00"
"1700000000303","2026-04-18","Office Snacks","Supplies","expense","125.60"
"1700000000304","2026-01-22","Web Store Sale","Sales","income","340.50"
"1700000000305","2026-03-12","Facebook Ads","Marketing","expense","2200.00"
"1700000000306","2026-02-20","Maintenance Fee","Services","income","450.00"
"1700000000307","2026-04-02","Shredding Service","Operational","expense","85.00"
"1700000000308","2026-01-15","Tech Equipment","Supplies","expense","1200.00"
"1700000000309","2026-03-28","App Subscription","Sales","income","89.99"
"1700000000310","2026-02-11","Staff Training","Payroll","expense","3500.00"
"1700000000311","2026-04-15","Freight Charges","Operational","expense","410.20"
"1700000000312","2026-01-10","Project Milestone C","Services","income","12000.00"
"1700000000313","2026-03-19","Cloud Server","Operational","expense","150.00"
"1700000000314","2026-02-05","Business Cards","Marketing","expense","75.00"
"1700000000315","2026-04-09","Product Licensing","Sales","income","5000.00"
"1700000000316","2026-01-29","Airport Shuttle","Travel","expense","55.00"
"1700000000317","2026-03-04","Legal Document Prep","Services","expense","800.00"
"1700000000318","2026-02-28","Direct Retail Sale","Sales","income","125.00"
"1700000000319","2026-04-12","Furniture Repair","Operational","expense","320.00"
"1700000000320","2026-01-08","Software Plugin","Supplies","expense","49.00"
"1700000000321","2026-03-21","Expert Witness Fee","Services","income","2500.00"
"1700000000322","2026-02-15","Courier Export","Operational","expense","210.00"
"1700000000323","2026-04-03","Domain Security","Operational","expense","15.00"
"1700000000324","2026-01-18","Wholesale Delivery","Sales","income","8400.00"
"1700000000325","2026-03-14","Search Engine Marketing","Marketing","expense","1200.00"
"1700000000326","2026-02-01","Monthly Salary Admin","Payroll","expense","4500.00"
"1700000000327","2026-04-05","Heating Bill","Operational","expense","240.00"
"1700000000328","2026-01-24","Consulting Retainer","Services","income","3000.00"
"1700000000329","2026-03-08","Cleaning Supplies","Supplies","expense","65.40"
"1700000000330","2026-02-22","Toll Road Charges","Travel","expense","18.50"
"1700000000331","2026-04-14","Product Sale B2B","Sales","income","15600.00"
"1700000000332","2026-01-12","USB Drives","Supplies","expense","110.00"
"1700000000333","2026-03-25","Influencer Collab","Marketing","expense","500.00"
"1700000000334","2026-02-09","Server Rack","Supplies","expense","2800.00"
"1700000000335","2026-04-01","Support Call Revenue","Services","income","150.00"
"1700000000336","2026-01-31","Water Cooler Rental","Operational","expense","40.00"
"1700000000337","2026-03-10","Billboard Ad","Marketing","expense","4000.00"
"1700000000338","2026-02-18","Staff Bonus","Payroll","expense","1000.00"
"1700000000339","2026-04-19","Custom API Integration","Services","income","7500.00"
"1700000000340","2026-01-05","Gasoline","Travel","expense","60.00"
"1700000000341","2026-03-29","SSL Certificate","Operational","expense","80.00"
"1700000000342","2026-02-14","Workshop Material Fee","Services","income","400.00"
"1700000000343","2026-04-06","Elevator Maintenance","Operational","expense","550.00"
"1700000000344","2026-01-20","Paper Shredder","Supplies","expense","140.00"
"1700000000345","2026-03-12","Coaching Session","Services","income","300.00"
"1700000000346","2026-02-25","Uber to Client","Travel","expense","32.00"
"1700000000347","2026-04-10","Newsletter Software","Marketing","expense","49.00"
"1700000000348","2026-01-16","E-book Royalty","Sales","income","240.00"
"1700000000349","2026-03-01","Building Insurance","Operational","expense","1100.00"
"1700000000350","2026-02-11","External Hard Drive","Supplies","expense","120.00"
"1700000000351","2026-04-17","Premium Access Fee","Sales","income","99.00"
"1700000000352","2026-01-04","Postage Stamps","Operational","expense","25.00"
"1700000000353","2026-03-24","Radio Spot Ad","Marketing","expense","1500.00"
"1700000000354","2026-02-07","Work Desk","Supplies","expense","450.00"
"1700000000355","2026-04-08","Strategic Planning","Services","income","4500.00"
"1700000000356","2026-01-26","Parking Validation","Travel","expense","10.00"
"1700000000357","2026-03-15","Magazine Subscription","Marketing","expense","120.00"
"1700000000358","2026-02-19","Recruitment Post","Payroll","expense","300.00"
"1700000000359","2026-04-11","Asset Sale","Sales","income","1100.00"
"1700000000360","2026-01-02","Small Tool Purchase","Supplies","expense","35.00"
"1700000000361","2026-03-27","Contract Legal Review","Services","income","1800.00"
"1700000000362","2026-02-21","Stationery Order","Supplies","expense","88.00"
"1700000000363","2026-04-13","Client Lunch Meal","Travel","expense","145.20"
"1700000000364","2026-01-13","Consulting Payment","Services","income","2100.00"
"1700000000365","2026-03-31","Yearly Accounting","Operational","expense","2500.00"
"1700000000366","2026-02-04","Instagram Ad Spend","Marketing","expense","600.00"
"1700000000367","2026-04-07","Online Retail Revenue","Sales","income","940.50"
"1700000000368","2026-01-30","Parking Fine","Travel","expense","45.00"
"1700000000369","2026-03-20","SaaS Integration","Sales","income","350.00"
"1700000000370","2026-02-13","Office Paint","Operational","expense","220.00"
"1700000000371","2026-04-16","Trade Show Space","Marketing","expense","2500.00"
"1700000000372","2026-01-23","Printer Lease","Operational","expense","180.00"
"1700000000373","2026-03-09","SEO Audit","Services","income","900.00"
"1700000000374","2026-02-24","Flyer Printing","Marketing","expense","150.00"
"1700000000375","2026-04-18","Keyboard Purchase","Supplies","expense","65.00"
"1700000000376","2026-01-07","Service Contract","Services","income","4200.00"
"1700000000377","2026-03-26","Software Renewal","Operational","expense","299.00"
"1700000000378","2026-02-17","Subway Fare","Travel","expense","5.50"
"1700000000379","2026-04-15","Digital Content Sale","Sales","income","150.00"
"1700000000380","2026-01-14","First Aid Refill","Supplies","expense","32.00"
"1700000000381","2026-03-06","PPC Campaign","Marketing","expense","1000.00"
"1700000000382","2026-02-27","Independent Contractor","Payroll","expense","3200.00"
"1700000000383","2026-04-03","Course Sale","Sales","income","199.00"
"1700000000384","2026-01-19","Stickers & Labels","Marketing","expense","45.00"
"1700000000385","2026-03-23","Webinar Ticket","Services","income","25.00"
"1700000000386","2026-02-06","Sanitizer Bulk","Operational","expense","110.00"
"1700000000387","2026-04-10","Pens & Notebooks","Supplies","expense","34.50"
"1700000000388","2026-01-27","Corporate Workshop","Services","income","5000.00"
"1700000000389","2026-03-11","LinkedIn Talent Hub","Marketing","expense","800.00"
"1700000000390","2026-02-10","Tax Refund","Operational","income","540.00"
"1700000000391","2026-04-12","Uniform Branding","Payroll","expense","450.00"
"1700000000392","2026-01-04","App Store Sale","Sales","income","12.50"
"1700000000393","2026-03-13","Window Cleaning","Operational","expense","80.00"
"1700000000394","2026-02-16","Architecture Consult","Services","income","4500.00"
"1700000000395","2026-04-14","Highway Toll","Travel","expense","12.00"
"1700000000396","2026-01-09","Promo Video Prep","Marketing","expense","1200.00"
"1700000000397","2026-03-27","Partner Revenue Share","Sales","income","1500.00"
"1700000000398","2026-02-12","Computer Battery","Supplies","expense","85.00"
"1700000000399","2026-04-04","Kitchen Supplies","Supplies","expense","55.00"
"1700000000400","2026-01-11","Site Design Phase 2","Services","income","8000.00"
"1700000000401","2026-02-14","Email Hosting","Operational","expense","45.00"
"1700000000402","2026-03-05","Technical Training","Services","income","1500.00"
"1700000000403","2026-04-18","Coffee Pods","Supplies","expense","125.60"
"1700000000404","2026-01-22","App Purchase","Sales","income","340.50"
"1700000000405","2026-03-12","Google Ads","Marketing","expense","2200.00"
"1700000000406","2026-02-20","Maintenance Fee","Services","income","450.00"
"1700000000407","2026-04-02","Document Shredding","Operational","expense","85.00"
